unitAvail,unitInspec,askIncome,callBack,finHelp,followUp,otherInspec,agentAge,auditorChild,auditorKid,auditorCouple,isQualified,agentBLK,agentFEM,auditID,pctBLK,houseVAL,officeBLK,inCity,sameAgent,race
1,1,1,0,1,1,1,40,1,0,1,1,0,1,87511912,0.69,155000,0.57999998,0,0,white
1,1,1,0,0,1,1,35,1,1,1,1,0,1,87510312,2.47,294460,6.48,0,1,white
1,1,1,0,1,1,1,40,1,1,1,1,0,1,87510320,0.1,180405,0.75,0,0,white
1,1,0,0,1,1,1,40,1,0,1,0,0,0,87511904,0.12,202500,0.91000003,0,0,white
1,1,0,0,1,1,1,45,1,0,1,0,0,1,87511920,6.5023808,212500,0.57999998,0,0,white
1,1,0,0,0,1,1,35,1,1,1,0,0,0,87510232,6.5023808,170000,2.4100001,0,0,white
1,1,1,0,1,0,1,50,1,1,1,1,0,1,87511032,6.5023808,332500,2.1400001,0,0,white
1,1,0,0,1,1,1,35,1,1,1,0,0,1,87510952,6.5023808,160000,0.16,0,0,white
0,0,1,1,1,0,1,35,1,1,1,1,0,1,87511824,6.5023808,207500,0.67000002,0,0,white
1,1,0,1,1,0,1,67,1,1,1,0,0,0,87511872,0.98000002,172500,0.56999999,0,1,white
1,0,0,1,1,0,0,40,0,0,0,1,0,0,87511832,9.8699999,72500,0.64999998,0,1,white
1,0,0,0,0,0,0,60,1,0,1,0,0,0,87510976,6.5023808,180000,0.37,0,0,white
1,0,1,0,0,1,1,50,0,0,1,1,1,1,87510992,24.84,116500,44.540001,0,1,white
1,1,0,0,0,0,1,35,1,0,1,0,0,1,87511952,0.11,315000,0.13,0,1,white
1,1,0,0,0,0,1,40,1,0,1,0,0,1,87511928,5.8099999,315000,64.949997,0,0,white
1,0,1,1,1,1,1,45,1,0,1,1,0,0,87511856,1.0700001,137500,0.44,0,1,white
1,0,0,1,1,0,1,60,1,0,1,1,0,1,87511936,6.5023808,260000,0.16,0,0,white
1,1,0,1,1,0,1,40,1,0,1,1,0,1,87511968,6.5023808,195000,0.16,0,1,white
1,0,1,0,1,1,1,45,1,0,1,0,0,1,87511840,6.5023808,167500,64.949997,0,0,white
1,0,0,0,0,0,0,65,1,0,1,0,0,0,87510200,0.20999999,322500,0.36000001,0,1,white
1,0,0,1,1,0,1,55,0,0,1,0,0,1,87510336,57.630001,142500,7.9117141,0,1,white
1,1,0,0,1,1,1,50,1,0,1,0,0,1,87510968,0.57999998,190000,0.57999998,0,0,white
1,1,1,1,1,0,1,50,1,0.075000003,1,0,0,0,100016080,7.6611538,60000,8.5676928,0,1,white
1,1,0,1,0,0,1,30,0,0,0,0,0,1,100016088,7.6611538,1e+05,0.23,0,1,white
1,1,0,1,1,0,0,50,0,0,0,1,0,1,100016112,0.69,60000,3.0699999,0,1,white
1,1,1,1,0,0,1,45,0,0,1,1,0,1,100016120,0.15000001,90000,0.31,0,1,white
1,1,0,1,0,0,1,40,1,0.075000003,1,0,0,1,100016128,40.529999,140000,8.5676928,0,0,white
1,1,0,0,0,0,1,40,0,0,1,1,0,0,100016144,7.6611538,130000,8.5676928,0,0,white
1,1,0,1,1,0,1,40,0,0,0,1,0,1,100016152,20.790001,51000,0.34,0,0,white
1,1,1,1,0,0,0,30,1,0.075000003,1,0,0,0,100016160,16.309999,44400,0.090000004,0,1,white
0,0,0,0,0,0,0,55,0,0,1,0,0,0,100016168,7.6611538,66500,0.81999999,0,1,white
1,1,1,1,1,0,1,30,1,0.075000003,1,0,0,1,100016400,1.33,80000,2.49,0,0,white
1,1,0,1,1,0,0,44,1,0.075000003,1,1,0,1,100016464,9.8100004,55000,18.469999,0,1,white
0,0,1,0,0,0,1,50,0,0,1,0,0,1,100015480,0.81999999,39250,35.209999,0,0,white
0,0,0,0,0,0,1,35,1,0.075000003,1,1,0,1,100015832,7.6611538,74950,8.5676928,0,2,white
1,1,0,1,1,0,1,55,1,0.075000003,1,1,0,0,100015840,21.91,102500,21.91,0,0,white
1,1,0,1,0,0,1,45,1,0.075000003,1,1,0,0,100015848,0.15000001,112250,2.49,0,2,white
1,1,0,1,0,0,1,40,1,0.075000003,1,0,0,1,100016016,7.6611538,84450,8.5676928,0,2,white
1,1,0,0,0,0,1,65,1,0.075000003,1,0,0,0,100016392,7.6611538,45000,0.15000001,0,1,white
